category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Stabat mater: Motette für zwei Chöre a capella,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992790,,,
metadata,FAAM manifestation ID,id,BSB-991078132959707356,,,
metadata,call number,string,2 Mus.pr. 3252,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,E4rhHet3,,instrument call,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,ieqEGEHo,,messa di voce,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,8N6k5W5i,,accidental,
statements,editorial annotation,item,j3tnVzW5,,diminuendo,
statements,editorial annotation,item,JXYgRRuc,,musica ficta,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,BdJHjaCE,,liturgical music,
statements,keyword,item,ik3NwdWW,,motet,
statements,keyword,item,7UGJWsQF,,Marian hymn,
statements,keyword,item,WiBZjkbR,,arrangement,
statements,keyword,item,YVdQHjKd,,choral music,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,J9FXU5XV,,Venetian polychoral style,
statements,keyword,item,ZMpsLcpT,,Cecilian Movement,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,musical work,item,4cGZC6bC,,"Stabat Mater, IGP 90",
statements,agent,statement,ETWsDdog,,C. F. Kahnt,7tdgMgre||1880
statements,agent,statement,DYgYnSpY,,Richard Wagner,6UPEJgTQ||
statements,agent,statement,nHfR4BAi,,Giovanni Pierluigi da Palestrina,YvQmwaaW||
