category,faam_property,type,value,base_url,label
metadata,label,string,Giuseppe Maria Boschi,,
metadata,description,string,Italian opera singer,,
metadata,aliases,string,Giuseppe Maria Boschi,,
metadata,qid,externalid,Q1528416,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15995849,,
statements,VIAF ID,externalid,"4,01E+34",https://viaf.org/viaf/,
statements,RISM ID,externalid,people/571115,https://rism.online/,
statements,date of birth,date,1675,,
statements,instance of,item,aJeJBesD,,human
statements,occupation,item,9giCtFiy,,opera singer
statements,sex or gender,item,ku2dT5kg,,male
statements,nationality,item,eYiHyUu4,,Republic of Venice
statements,place of birth,item,aCZtwsj7,,
statements,place of death,item,aCZtwsj7,,
statements,instrument,item,NFAxdnVA,,voice
