category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Rubens-marsch: op motiven der Rubens-cantate,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992373,,,
metadata,FAAM manifestation ID,id,KCA-030902146544,,,
metadata,call number,string,MM-TP-BENOI-rubensm-1,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,handwritten annotation,item,TUdHPWU8,,alternative melody,
statements,handwritten annotation,item,gaLrAUbu,,deletion,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,GpNEm7nw,,engage pedal,
statements,handwritten annotation,item,DawBtzdU,,solmization,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,L3JmRWH5,,march,
statements,keyword,item,LmDaVvmF,,reduction,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,69eP37xK,,Rubensmars,
statements,agent,statement,Ta5ni5cL,,Peter Benoit,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,7tdgMgre|bSzLPudk|1877
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
