category,faam_property,type,value,base_url,label
metadata,label,string,Christian Ehregott Weinlig,,
metadata,description,string,German composer,,
metadata,aliases,string,,,
metadata,qid,externalid,Q215455,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,871226,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/322541,https://rism.online/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
statements,instrument,item,8cygiHEB,,organ
