category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Sämtliche Werke : für d. Pianoforte,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16003953,,,
metadata,FAAM manifestation ID,id,BSB-991078401649707356,,,
metadata,call number,string,2 Mus.pr. 1440,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,related item,item,dqTwfFzk,,"Keyboard Sonata in G minor, K.8",
statements,related item,item,JHg9MPVu,,"Keyboard Sonata in D minor, K.9",
statements,related item,item,cFTRAQqf,,"Keyboard Sonata in D major, K.29",
statements,related item,item,fr2hnQEu,,"Keyboard Sonata in D major, K.96",
statements,related item,item,9L9RmaCx,,"Keyboard Sonata in B minor, K.173",
statements,related item,item,KmgJHDdU,,"Keyboard Sonata in B minor, K.377",
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,RtkoMT89,,sonata,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,fDw9JihK,,"Keyboard Sonata in G major, K.125",
statements,musical work,item,PbZjfcHX,,"Keyboard Sonata in C minor, K.126",
statements,musical work,item,35sDRhgb,,"Keyboard Sonata in A-flat major, K.127",
statements,musical work,item,3YoeAzA9,,"Keyboard Sonata in B-flat minor, K.131",
statements,musical work,item,GjF4zpdV,,"Keyboard Sonata in A major, K.182",
statements,musical work,item,6VQqp9E6,,"Keyboard Sonata in D minor, K.1",
statements,musical work,item,VuSjJQzj,,"Keyboard Sonata in G major, K.2",
statements,musical work,item,EABhjNSH,,"Keyboard Sonata in A minor, K.3",
statements,musical work,item,YLuLv5SF,,"Keyboard Sonata in G minor, K.4",
statements,musical work,item,STg3Uysd,,"Keyboard Sonata in D minor, K.5",
statements,musical work,item,UFxAp7hJ,,"Keyboard Sonata in F major, K.6",
statements,musical work,item,LswJrahp,,"Keyboard Sonata in A minor, K.7",
statements,musical work,item,dqTwfFzk,,"Keyboard Sonata in G minor, K.8",
statements,musical work,item,JHg9MPVu,,"Keyboard Sonata in D minor, K.9",
statements,musical work,item,nFSB7HE2,,"Keyboard Sonata in D minor, K.10",
statements,musical work,item,BpqErbq5,,"Keyboard Sonata in G minor, K.179",
statements,musical work,item,FELxTbej,,"Keyboard Sonata in C minor, K.11",
statements,musical work,item,nUNzzvyU,,"Keyboard Sonata in G minor, K.12",
statements,musical work,item,FpHM2oK7,,"Keyboard Sonata in G major, K.13",
statements,musical work,item,KX7iJzE6,,"Keyboard Sonata in G major, K.14",
statements,musical work,item,nK5bCYvE,,"Keyboard Sonata in E minor, K.15",
statements,musical work,item,YS7Jaaja,,"Keyboard Sonata in B-flat major, K.16",
statements,musical work,item,3E7PqLiY,,"Keyboard Sonata in F major, K.17",
statements,musical work,item,EMUQTmGM,,"Keyboard Sonata in D minor, K.18",
statements,musical work,item,BhtLighL,,"Keyboard Sonata in F minor, K.19",
statements,musical work,item,e7jMwfQy,,"Keyboard Sonata in E major, K.20",
statements,musical work,item,CshZrVWT,,"Keyboard Sonata in D major, K.21",
statements,musical work,item,4yevsXbN,,"Keyboard Sonata in C minor, K.22",
statements,musical work,item,XdKEQUBK,,"Keyboard Sonata in D major, K.23",
statements,musical work,item,EiKxgscr,,"Keyboard Sonata in A major, K.24",
statements,musical work,item,BWv8f3xb,,"Keyboard Sonata in F-sharp minor, K.25",
statements,musical work,item,Vk8JV7ow,,"Keyboard Sonata in A major, K.26",
statements,musical work,item,TYQqGgsx,,"Keyboard Sonata in B minor, K.27",
statements,musical work,item,WGwyxeMv,,"Keyboard Sonata in E major, K.28",
statements,musical work,item,S34Tqfw6,,"Keyboard Sonata in G minor, K.35",
statements,musical work,item,cFTRAQqf,,"Keyboard Sonata in D major, K.29",
statements,musical work,item,eJ86N3UF,,"Keyboard Sonata in E-flat major, K.474",
statements,musical work,item,cPkc4qtx,,"Keyboard Sonata in G minor, K.476",
statements,musical work,item,abC9PCg7,,"Keyboard Sonata in F minor, K.481",
statements,musical work,item,XN7dF8D5,,"Keyboard Sonata in F major, K.482",
statements,musical work,item,dJbQ2dcZ,,"Keyboard Sonata in F major, K.468",
statements,musical work,item,Cpx2hoq6,,"Keyboard Sonata in F major, K.483",
