category,faam_property,type,value,label
metadata,label,string,"Transcriptions pour harmonium... par Alexandre Guilmant.... Fragments des Indes galantes, ballet...",
metadata,description,string,,
metadata,nodegoat_id,id,16004270,
metadata,FAAM manifestation ID,id,BNF-43222570p,
metadata,call number,string,VM11-657,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,FSduWvy5,early music
statements,instrumentation,item,KJkThvsq,voice
statements,instrumentation,item,GoXpNrsh,piano
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
