category,faam_property,type,value,label,qualifiers
metadata,label,string,Doux entretien. Boston,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005461,,
metadata,FAAM manifestation ID,id,ORP-20143700p12,,
metadata,call number,string,KTS1 H.11.map.006,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,"L'Illustration, N. 3130
L'Illustration, N. 3130",,
statements,date,date,21-02-1903,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,4ZvdnZdj,programme music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,Bxdvjnw8,Louis-Antoine Dubost,fkHJwpoD||
statements,agent,statement,Bxdvjnw8,Louis-Antoine Dubost,fkHJwpoD||
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|21-02-1903
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
