category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Ach wie flüchtig, ach wie nichtig",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004331,,,
metadata,FAAM manifestation ID,id,BSB-991106268029707356,,,
metadata,call number,string,4 Mus.pr. 65049,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,QELJUJBf,,church cantata,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,fsof5n4h,,aria,
statements,keyword,item,gKMU7J89,,realization of figured bass,
statements,keyword,item,LmDaVvmF,,reduction,
statements,instrumentation,item,TicDHwYM,,soprano,
statements,instrumentation,item,gVFJ3YRC,,alto,
statements,instrumentation,item,4YzWbco5,,tenor,
statements,instrumentation,item,K94zCrpZ,,bass,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,285bADZE,,"Ach wie flüchtig, ach wie nichtig, BWV 26",
statements,agent,statement,GecAsFfL,,Johann Sebastian Bach,YvQmwaaW||
statements,agent,statement,T4UPmCxj,,Robert Franz,6UPEJgTQ||
statements,agent,statement,8CYEAfXV,,F. E. C. Leuckart Verlag,7tdgMgre|ghRTkNHk|1865
