category,faam_property,type,value,qualifiers,base_url
metadata,label,string,O Beata Mater. pour Solo et 4 voix mixtes ou 4 voix égales.,,
metadata,description,string,,,
metadata,id,id,grii8mVz,,
metadata,nodegoat_id,id,16005692,,
metadata,FAAM manifestation ID,id,DPF-202502041,,
metadata,call number,string,not available,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,9dz9ydpz,,
statements,editorial annotation,item,GziQMKQy,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,e9t5BdLA,,
statements,editorial annotation,item,RePdmToB,,
statements,editorial annotation,item,iWuVLJam,,
statements,editorial annotation,item,c5cZmF37,,
statements,editorial annotation,item,AeKhRWCB,,
statements,handwritten annotation,item,jCuFYGDc,,
statements,provenance,item,T7T22EAb,,
statements,related item,item,JdpDgwnm,,
statements,keyword,item,7U54uqaV,,
statements,keyword,item,jTMjFsDj,,
statements,keyword,item,eCYL2PkE,,
statements,keyword,item,eijiWF3A,,
statements,instrumentation,item,5yLc7bQJ,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,RXg4snEH,,
statements,agent,statement,8sxhcmoV,fkHJwpoD||,
statements,agent,statement,b4N9xf7f,GBgJfRbK||,
statements,agent,statement,CbtAbQDg,NgFpoygv||,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,NgFpoygv,,
resources,thumb,image,DPF-202502041.gif,,../assets/images/thumbs/
