category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,La Reine Fiammette,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005504,,,
metadata,FAAM manifestation ID,id,ORP-20143988p1,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3175
L'Illustration, N. 3175",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,jvLF4xd6,,medievalism,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,3pBT6TcQ,,Xavier Leroux,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|02-01-1904
