category,faam_property,type,value,base_url,label
metadata,label,string,Johann Bernhard Logier,,
metadata,description,string,"German-Irish composer, pianist and music educator",,
metadata,aliases,string,,,
metadata,qid,externalid,Q318065,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,97152254,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30099792,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Logier,_Johann_Bernhard",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
