category,faam_property,type,value,base_url,label
metadata,label,string,Charles Seeger,,
metadata,description,string,American musicologist (1886–1979),,
metadata,aliases,string,"Charles Louis Seeger, Jr.",,
metadata,aliases,string,Charles Louis Seeger,,
metadata,qid,externalid,Q1066045,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,89038263,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30022504,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Seeger,_Charles",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
statements,employer,externalid,Q174710,,
statements,employer,item,JBXSgTmB,,"University of California, Berkeley"
statements,employer,externalid,Q131626,,
statements,employer,item,fbNjgZH4,,Juilliard School
