category,faam_property,type,value,label,qualifiers
metadata,label,string,Cours pratique et théorique d'harmonie,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992343,,
metadata,FAAM manifestation ID,id,KCA-030904338792,,
metadata,call number,string,MM-TH-SARLY-courspr-1,,
metadata,score format,item,ifXZogMQ,Music Treatise,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,handwritten annotation,item,8Ki8U5U4,underline,
statements,handwritten annotation,item,JnGFsz6r,pointer,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,5fpte3tE,vertical break,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,agent,statement,7CCCzcRR,Henry Sarly,fkHJwpoD||
statements,role,item,GoiPpGap,performing artist,
statements,role,item,fkHJwpoD,composer,
