category,faam_property,type,value,label,qualifiers
metadata,label,string,3e Suite,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992365,,
metadata,FAAM manifestation ID,id,KCA-030902565354,,
metadata,call number,string,MM-TP-BENOI-conte3-1,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,sections,html,"[h=1]3me Suite[/h]
<ol>
<li> Conte </li>
<li> Ballade </li>
<li> Conte </li>
</ol>",,
statements,editorial annotation,item,NsEoE4RP,musical expression,
statements,editorial annotation,item,WtvibJFF,accent,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,UDva945b,crescendo,
statements,handwritten annotation,item,Rxa2vGNJ,repeat sign,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,B7WuhvkL,fermata,
statements,handwritten annotation,item,J6ERsasy,metronome mark,
statements,handwritten annotation,item,RePdmToB,breath mark,
statements,handwritten annotation,item,JnGFsz6r,pointer,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,2HBuTSVV,ballade,
statements,keyword,item,jvhZafsd,piano cycle,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,JpQ4iY5H,"Contes et Ballades, Op.34",
statements,agent,statement,73vECvez,Peter Benoit,fkHJwpoD||
statements,agent,statement,BkX9pctu,Jean Baptiste Katto,GBgJfRbK|9k2MygHr|
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GoiPpGap,performing artist,
statements,place,item,9k2MygHr,City of Brussels,
