category,faam_property,type,value,label,qualifiers
metadata,label,string,CAVATINE voor trombone met begeleiding van piano,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992641,,
metadata,FAAM manifestation ID,id,KCG-000341817,,
metadata,call number,string,A1795,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1871,,
statements,handwritten annotation,item,RePdmToB,breath mark,
statements,handwritten annotation,item,Wpq9sxzm,solmization,
statements,handwritten annotation,item,WtvibJFF,accent,
statements,handwritten annotation,item,9dz9ydpz,legato,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,3ts8CrNB,musical phrasing,
statements,handwritten annotation,item,B7WuhvkL,fermata,
statements,handwritten annotation,item,iWuVLJam,rallentando,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,6kwYh3HH,chamber music,
statements,keyword,item,aqmCgLsm,cavatina,
statements,instrumentation,item,L2scRLou,trombone,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,iDDKk6hP,"Cavatine, Op.47",
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||1871
statements,agent,statement,N8sEtZ9K,Jules Demersseman,fkHJwpoD||
statements,role,item,GoiPpGap,performing artist,
statements,role,item,fkHJwpoD,composer,
