category,faam_property,type,value,label,qualifiers
metadata,label,string,"Concerte für Waldhorn: mit Begleitung d. Orchesters. 2: No. 2, Op. 105: Es-Dur",,
metadata,description,string,,,
metadata,nodegoat_id,id,16005038,,
metadata,FAAM manifestation ID,id,BSB-991072273939707356,,
metadata,call number,string,4 Mus.pr. 2017.485,,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,Di2mC26w,engage pedal,
statements,editorial annotation,item,NFazQXR2,release pedal,
statements,editorial annotation,item,gSHSbZQr,instrument call,
statements,editorial annotation,item,6cyBEJLr,fingering,
statements,editorial annotation,item,WtvibJFF,accent,
statements,handwritten annotation,item,bsgSL8K5,Rehearsal letter,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,AeKhRWCB,tempo primo,
statements,handwritten annotation,item,e9t5BdLA,decrescendo,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,provenance,item,FDCuefHz,Bavarian State Library,
statements,keyword,item,gccDhEBK,wind music,
statements,keyword,item,65rhe5Po,concerto,
statements,keyword,item,M9HRWrxt,reduction,
statements,instrumentation,item,N3AKKugd,horn,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,KmEfUS8P,Horn Concerto No. 2,
statements,agent,statement,8gZHuqVq,Wolfgang Amadeus Mozart,fkHJwpoD||
statements,agent,statement,DaCzzraM,Carl Reinecke,45qo3Fj3||
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap||
statements,agent,statement,kaxviS8H,Robert Forberg,GBgJfRbK|GKcJxAtt|
statements,role,item,fkHJwpoD,composer,
statements,role,item,45qo3Fj3,music editor,
statements,role,item,GoiPpGap,performing artist,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GKcJxAtt,Leipzig,
