category,faam_property,type,value,base_url,label
metadata,label,string,Gaetano Veneziano,,
metadata,description,string,Italian composer,,
metadata,aliases,string,,,
metadata,qid,externalid,Q1922612,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,14009619,https://viaf.org/viaf/,
statements,VIAF ID,externalid,172194330,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Veneziano,_Gaetano",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
statements,instrument,item,8cygiHEB,,organ
