category,faam_property,type,value,label,qualifiers
metadata,label,string,Fantaisie : pour la Flûte avec Acc. de Piano ou Quatuor sur des motifs de l'Opéra de Gustave ou le Bal masqué : Opéra: 53,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992736,,
metadata,FAAM manifestation ID,id,KCG-000331412,,
metadata,call number,string,DS4645,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,McMWybdZ,Turn,
statements,editorial annotation,item,byLEfakR,marcato,
statements,editorial annotation,item,MCVLnYka,espressivo,
statements,editorial annotation,item,Skma2JzR,accelerando,
statements,editorial annotation,item,Vk2JQSuo,ad libitum,
statements,editorial annotation,item,YRq3pSH7,cadenza,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,Hrif6Qxb,solo,
statements,keyword,item,MaWnCnVw,arrangement,
statements,keyword,item,adAmqPwn,duet,
statements,keyword,item,HwcYgL5C,salon music,
statements,keyword,item,6kwYh3HH,chamber music,
statements,instrumentation,item,MV3uErvy,flute,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,4sXtxEvM,Gustave III,
statements,agent,statement,JEZ5AweR,Schott Music,GBgJfRbK|9k2MygHr|
statements,agent,statement,HUi3iNYA,Eugène Troupenas,GBgJfRbK|GDeKaNeC|
statements,agent,statement,SU2CV5XY,Daniel François Esprit Auber,fkHJwpoD||
statements,agent,statement,DSm6cEeM,Eugène Walckiers,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,place,item,9k2MygHr,City of Brussels,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
