category,faam_property,type,value,label,qualifiers
metadata,label,string,"Grand trio pour violon, alto et violoncelle",,
metadata,description,string,,,
metadata,nodegoat_id,id,16004383,,
metadata,FAAM manifestation ID,id,KCA-KMT175228,,
metadata,call number,string,KMT,,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,WtvibJFF,accent,
statements,editorial annotation,item,CPJ2a2C2,articulation,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,Rg6UtZ34,ritardando,
statements,editorial annotation,item,AeKhRWCB,tempo primo,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,editorial annotation,item,6sMfgEow,rinforzando,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,
statements,keyword,item,3kABELSa,trio,
statements,keyword,item,QFnkBYdA,string music,
statements,keyword,item,HwcYgL5C,salon music,
statements,instrumentation,item,VZE4bgeN,violin,
statements,instrumentation,item,WsKgSBQG,viola,
statements,instrumentation,item,4oyT6BBG,cello,
statements,agent,statement,aRhqhDnA,Antoine Bessems,||
statements,agent,statement,AnpeTJfi,Henry Lemoine,GBgJfRbK|GDeKaNeC|
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
