category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Hafiz,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992784,,,
metadata,FAAM manifestation ID,id,KCA-030903430186,,,
metadata,call number,string,MM-CEBED-DEJON-hafiz-1,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,KxvTqqX5,,Manuscript sketch,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,EXzrp8XT,,ossia,
statements,handwritten annotation,item,8N6k5W5i,,accidental,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,heM2NKfu,,Hafez,
statements,keyword,item,RNuYdNGa,,culture of Iran,
statements,keyword,item,8rovk6Ag,,exoticism,
statements,agent,statement,DYkLZpTt,,Raymond Herreman,eBGrzZAP||
statements,agent,statement,2yHpmJQV,,Marinus de Jong,YvQmwaaW||
