category,faam_property,type,value,base_url,label
metadata,label,string,Joseph-David Buhl,,
metadata,description,string,musician (1781-1860),,
metadata,aliases,string,Joseph‐David Buhl,,
metadata,qid,externalid,Q3330992,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,24786563,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Buhl,_David",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
statements,instrument,item,WVAicT8o,,trumpet
