category,faam_property,type,value,label,qualifiers
metadata,label,string,"Rondoletto brillant et facile : sur l'Aragonaise du Domino noir, musique de F. Auber, arrange pour la flute avec accompagnement de piano",,
metadata,description,string,,,
metadata,nodegoat_id,id,15992734,,
metadata,FAAM manifestation ID,id,KCG-000353031,,
metadata,call number,string,A1464 (17),,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,ULbwT6u4,dolce,
statements,editorial annotation,item,MCVLnYka,espressivo,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,MaWnCnVw,arrangement,
statements,keyword,item,6kwYh3HH,chamber music,
statements,keyword,item,adAmqPwn,duet,
statements,keyword,item,HwcYgL5C,salon music,
statements,keyword,item,hxYumS2J,opera,
statements,instrumentation,item,MV3uErvy,flute,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,bDdxv7Ny,Le domino noir,
statements,agent,statement,MbXCYU7Y,Louis Lahou,fkHJwpoD||
statements,agent,statement,SU2CV5XY,Daniel François Esprit Auber,fkHJwpoD||
statements,agent,statement,MbXCYU7Y,Louis Lahou,GBgJfRbK|9k2MygHr|
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,9k2MygHr,City of Brussels,
