category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Pièces pour le Clavecin par Domenico Scarlatti,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005603,,,
metadata,FAAM manifestation ID,id,KCA-030903514815,,,
metadata,call number,string,TP79482,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,K4TocMAK,,slur,
statements,editorial annotation,item,nTx2RkTQ,,trill,
statements,editorial annotation,item,93GDD9ND,,ornament,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,m9rNaSAR,,rallentando,
statements,editorial annotation,item,j3tnVzW5,,diminuendo,
statements,editorial annotation,item,mMrUGL4h,,ad libitum,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,2qoBxv5j,,performance practice,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,JHg9MPVu,,"Keyboard Sonata in D minor, K.9",
statements,musical work,item,Quc8drWz,,"Keyboard Sonata in D major, K.400",
statements,musical work,item,VuSjJQzj,,"Keyboard Sonata in G major, K.2",
statements,musical work,item,hwgDMQXJ,,"Keyboard Sonata in A major, K.113",
statements,agent,statement,PXYCpRXf,,Domenico Scarlatti,YvQmwaaW||
statements,agent,statement,NETLpz9B,,Adolphe Wouters,6UPEJgTQ||
statements,agent,statement,VHEan89z,,Jean Baptiste Katto,7tdgMgre|4g8XzGFP|
