category,faam_property,type,value,label,qualifiers
metadata,label,string,"Pierluigi da Palestrina's Werke. 7: Vier-, sechs-, acht- und zwölfstimmige Motetten aus dem Nachlaß : nebst e. Verzeichniß der in Bd. I - VII enth. Motetten",,
metadata,description,string,,,
metadata,nodegoat_id,id,15992771,,
metadata,FAAM manifestation ID,id,BSB-991082708499707356,,
metadata,call number,string,S nv/Ol 2-7/9,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1876,,
statements,date,date,1876,,
statements,editorial annotation,item,F9XSfSvU,Musica ficta,
statements,provenance,item,FDCuefHz,Bavarian State Library,
statements,keyword,item,jTMjFsDj,Cecilian Movement,
statements,keyword,item,MEjPi9ot,choral music,
statements,keyword,item,FSduWvy5,early music,
statements,instrumentation,item,5yLc7bQJ,choir,
statements,instrumentation,item,KJkThvsq,voice,
statements,agent,statement,XVpibGGu,Breitkopf & Härtel,GBgJfRbK|GKcJxAtt|1876
statements,agent,statement,TPZULZmQ,Theodor de Witt,45qo3Fj3||1876
statements,agent,statement,9MCtsKYb,Franz Espagne,45qo3Fj3||
statements,agent,statement,Ddx923Ut,Giovanni Pierluigi da Palestrina,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,45qo3Fj3,music editor,
statements,role,item,45qo3Fj3,music editor,
statements,role,item,fkHJwpoD,composer,
statements,place,item,GKcJxAtt,Leipzig,
