category,faam_property,type,value,label,qualifiers
metadata,label,string,"Symphony No. 3, Movement VI",,
metadata,description,string,,,
metadata,nodegoat_id,id,16003962,,
metadata,FAAM manifestation ID,id,WML-768364,,
metadata,call number,string,uu_mckay_asc,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1898,,
statements,date,date,06-1979,,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,5fpte3tE,vertical break,
statements,handwritten annotation,item,GziQMKQy,Divisi,
statements,handwritten annotation,item,JnGFsz6r,pointer,
statements,handwritten annotation,item,YWfofDz3,bounding,
statements,handwritten annotation,item,SnxsnGvi,deletion,
statements,handwritten annotation,item,kmMxdth8,bar number,
statements,handwritten annotation,item,gSHSbZQr,instrument call,
statements,handwritten annotation,item,ch89W2mx,time signature,
statements,handwritten annotation,item,WuWcWk4u,ritenuto,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,provenance,item,3xcm7SKP,J. Willard Marriott Library,
statements,keyword,item,mgrwHwTj,symphony,
statements,instrumentation,item,g7hgtzmM,orchestra,
statements,musical work,item,FXG4hBLe,Symphony No. 3,
statements,agent,statement,DMmrDj7M,Gustav Mahler,fkHJwpoD||
statements,agent,statement,3GuXLQzZ,Universal Music Publishing Group,GBgJfRbK||1898
statements,agent,statement,BFrbSzjH,Maurice Abravanel,2ZAuwsSp||06-1979
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,2ZAuwsSp,conductor,
