category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Pavane : pour une infante défunte : pour piano,,,
metadata,description,string,,,,
metadata,id,id,LYmACy4R,,,
metadata,nodegoat_id,id,15992711,,,
metadata,FAAM manifestation ID,id,KCA-030902737524,,,
metadata,call number,string,MM-TP-RAVEL-pavane-1,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,J6ERsasy,metronome mark,,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,editorial annotation,item,iWuVLJam,,,
statements,editorial annotation,item,AeKhRWCB,,,
statements,editorial annotation,item,Di2mC26w,engage pedal,,
statements,handwritten annotation,item,XutP4SZN,chronometry,,
statements,handwritten annotation,item,6cyBEJLr,fingering,,
statements,handwritten annotation,item,Di2mC26w,engage pedal,,
statements,handwritten annotation,item,NFazQXR2,release pedal,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,MKBgERjv,pavane,,
statements,keyword,item,4ZvdnZdj,programme music,,
statements,keyword,item,UGSpFRmF,piano music,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,8DrR4tSL,,,
statements,agent,statement,CjaU562n,,fkHJwpoD||,
statements,agent,statement,KMz2RbGQ,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,CT372LTH,,GoiPpGap||,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030902737524.gif,,,../assets/images/thumbs/
