category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Armonia,,,
metadata,description,string,,,,
metadata,id,id,Dfn9CZ5w,,,
metadata,nodegoat_id,id,16005479,,,
metadata,FAAM manifestation ID,id,ORP-20143700p30,,,
metadata,call number,string,KTS1 H.11.map.006,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,note,html,"L'Illustration, N. 3154
L'Illustration, N. 3154",,,
statements,date,date,,,,
statements,date,date,08-08-1903,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,NQFNyep8,,fkHJwpoD||,
statements,agent,statement,NQFNyep8,,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|08-08-1903,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GBgJfRbK,publishing company,,
statements,place,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
resources,thumb,image,ORP-20143700p30.gif,,,../assets/images/thumbs/
