category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,O Beata Mater. pour Solo et 4 voix mixtes ou 4 voix égales.,,,
metadata,description,string,,,,
metadata,id,id,grii8mVz,,,
metadata,nodegoat_id,id,16005692,,,
metadata,FAAM manifestation ID,id,DPF-202502041,,,
metadata,call number,string,not available,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,9dz9ydpz,legato,,
statements,editorial annotation,item,GziQMKQy,Divisi,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,e9t5BdLA,decrescendo,,
statements,editorial annotation,item,RePdmToB,breath mark,,
statements,editorial annotation,item,iWuVLJam,,,
statements,editorial annotation,item,c5cZmF37,decrescendo,,
statements,editorial annotation,item,AeKhRWCB,,,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,,
statements,provenance,item,T7T22EAb,private collection,,
statements,related item,item,JdpDgwnm,,,
statements,related item,item,,,,
statements,keyword,item,7U54uqaV,period composition,,
statements,keyword,item,jTMjFsDj,Cecilian Movement,,
statements,keyword,item,eCYL2PkE,liturgical music,,
statements,keyword,item,eijiWF3A,ballet,,
statements,instrumentation,item,5yLc7bQJ,choir,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,RXg4snEH,organ,,
statements,agent,statement,8sxhcmoV,,fkHJwpoD||,
statements,agent,statement,b4N9xf7f,,GBgJfRbK||,
statements,agent,statement,CbtAbQDg,,NgFpoygv||,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,NgFpoygv,scholar,,
statements,role,item,,,,
statements,place,item,,,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,DPF-202502041.gif,,,../assets/images/thumbs/
