category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"24. | Concerto | a Viol. conc., 2 Viol., Viola, Violoncello e Basso | del Sig. Vivaldi.",,,
metadata,description,string,,,,
metadata,id,id,KJAhs3Zf,,,
metadata,nodegoat_id,id,15992721,,,
metadata,FAAM manifestation ID,id,CBM-TORRMsA15,,,
metadata,call number,string,TORR. Ms.A.15,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,THYV2oLw,,,
statements,note,html,Performance practice comments in German.,,,
statements,date,date,,,,
statements,date,date,,,,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,,
statements,handwritten annotation,item,VMA2AmEN,performance practice,,
statements,handwritten annotation,item,A4NPbBsi,ornament,,
statements,provenance,item,UXcrTKij,Biblioteca del Conservatorio Benedetto Marcello,,
statements,related item,item,,,,
statements,keyword,item,65rhe5Po,concerto,,
statements,keyword,item,ePKeLfXg,violin concerto,,
statements,keyword,item,FSduWvy5,early music,,
statements,instrumentation,item,VZE4bgeN,violin,,
statements,instrumentation,item,WsKgSBQG,viola,,
statements,instrumentation,item,4oyT6BBG,cello,,
statements,instrumentation,item,3Sa6bp7X,continuo group,,
statements,musical work,item,fPamE8Pi,Violin concerto in E-flat major (RV 252),,
statements,agent,statement,Key74Nv2,,fkHJwpoD||,
statements,agent,statement,M2b4HvjF,,NgFpoygv|k6SS3uwu|,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,NgFpoygv,scholar,,
statements,role,item,,,,
statements,place,item,k6SS3uwu,,,
statements,place,item,,,,
resources,thumb,image,CBM-TORRMsA15.gif,,,../assets/images/thumbs/
