category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Bagatelle,,,
metadata,description,string,,,,
metadata,id,id,7Pgjc6nn,,,
metadata,nodegoat_id,id,16005438,,,
metadata,FAAM manifestation ID,id,ORP-20143701p5,,,
metadata,call number,string,KTS1 H.11.map.005,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,05-1903,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,98W5cKAM,,fkHJwpoD||,
statements,agent,statement,MSuEoAkN,,GBgJfRbK|GDeKaNeC|05-1903,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
resources,thumb,image,ORP-20143701p5.gif,,,../assets/images/thumbs/
