category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Cours de chant ou méthode progressive et complète divisée en 2 parties, 1ère partie",,,
metadata,description,string,,,,
metadata,id,id,WigP5okt,,,
metadata,nodegoat_id,id,16004107,,,
metadata,FAAM manifestation ID,id,BNF-43203582h,,,
metadata,call number,string,VM8 A-183,,,
metadata,score format,item,ifXZogMQ,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1843,,,
statements,date,date,,,,
statements,editorial annotation,item,Wpq9sxzm,solmization,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,Pcc4PpDc,,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,RePdmToB,breath mark,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,e9t5BdLA,decrescendo,,
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France,,
statements,related item,item,,,,
statements,keyword,item,Sdw2foGQ,music theory,,
statements,keyword,item,Vm5DPnGE,vocal pedagogy,,
statements,keyword,item,9farY66Z,music education,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,hWRBKsLc,,GBgJfRbK|GDeKaNeC|1843,
statements,agent,statement,UH5RqTyQ,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
resources,thumb,image,BNF-43203582h.gif,,,../assets/images/thumbs/
