category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Humoreska, op. 101 no. 7 = Célèbre humoresque",,,
metadata,description,string,,,,
metadata,id,id,3sBRPvLk,,,
metadata,nodegoat_id,id,16004381,,,
metadata,FAAM manifestation ID,id,KCA-030902758835,,,
metadata,call number,string,MM-DUBP-DVORA-humores-1,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1909,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,Di2mC26w,engage pedal,,
statements,editorial annotation,item,NFazQXR2,release pedal,,
statements,editorial annotation,item,J6ERsasy,metronome mark,,
statements,editorial annotation,item,Rg6UtZ34,,,
statements,editorial annotation,item,AeKhRWCB,,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,L22MWk6s,"Humoresques, Op. 101",,
statements,agent,statement,QxJM2hye,,fkHJwpoD||,
statements,agent,statement,APRRus3e,,45qo3Fj3||,
statements,agent,statement,TYRfydcx,,GBgJfRbK|GDeKaNeC|1909,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030902758835.gif,,,../assets/images/thumbs/
