category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Six ecossaises,,,
metadata,description,string,,,,
metadata,id,id,2waK2DNu,,,
metadata,nodegoat_id,id,15992352,,,
metadata,FAAM manifestation ID,id,KCA-030903994140,,,
metadata,call number,string,MM-TP-BEETH-ecoss6-1,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1916,,,
statements,date,date,1823,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,6cyBEJLr,fingering,,
statements,editorial annotation,item,MCVLnYka,,,
statements,editorial annotation,item,CPJ2a2C2,articulation,,
statements,editorial annotation,item,A4NPbBsi,ornament,,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,,
statements,handwritten annotation,item,J6ERsasy,metronome mark,,
statements,handwritten annotation,item,d2uUDsVY,variation,,
statements,handwritten annotation,item,SnxsnGvi,,,
statements,handwritten annotation,item,P6AqvBfU,chord symbol,,
statements,handwritten annotation,item,YWfofDz3,,,
statements,handwritten annotation,item,aCRY7SgN,accidental,,
statements,handwritten annotation,item,RePdmToB,breath mark,,
statements,handwritten annotation,item,6cyBEJLr,fingering,,
statements,handwritten annotation,item,4PAdXGNC,,,
statements,handwritten annotation,item,5fpte3tE,,,
statements,handwritten annotation,item,e9t5BdLA,decrescendo,,
statements,handwritten annotation,item,8Ki8U5U4,underline,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,RHxmTGG2,dance music,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,8W3GQvBB,,45qo3Fj3||,
statements,agent,statement,Emj3ETFw,,GBgJfRbK||1916,
statements,agent,statement,98W5cKAM,,fkHJwpoD||1823,
statements,agent,statement,3NyookEG,,GoiPpGap||,
statements,agent,statement,,,||,
statements,agent,statement,,,||,
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,,,,
statements,role,item,,,,
statements,place,item,,,,
statements,place,item,,,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030903994140.gif,,,../assets/images/thumbs/
